nm	%T	
320,0	0,01	
325,0	0,01	
330,0	0,07	
335,0	0,01	
340,0	0,01	
345,0	0,00	
350,0	0,00	
355,0	0,03	
360,0	0,00	
365,0	2,48	
370,0	2,31	
375,0	2,10	
380,0	1,88	
385,0	1,70	
390,0	1,56	
395,0	1,45	
400,0	1,36	
405,0	1,29	
410,0	1,21	
415,0	1,14	
420,0	1,09	
425,0	1,03	
430,0	0,97	
435,0	0,93	
440,0	0,87	
445,0	0,82	
450,0	0,77	
455,0	0,72	
460,0	0,67	
465,0	0,62	
470,0	0,58	
475,0	0,60	
480,0	1,01	
485,0	2,55	
490,0	6,93	
495,0	15,20	
500,0	27,12	
505,0	38,93	
510,0	48,64	
515,0	54,66	
520,0	57,35	
525,0	57,69	
530,0	55,43	
535,0	52,23	
540,0	47,42	
545,0	41,58	
550,0	35,25	
555,0	28,33	
560,0	21,46	
565,0	15,19	
570,0	10,13	
575,0	6,14	
580,0	3,15	
585,0	1,47	
590,0	0,61	
595,0	0,29	
600,0	0,22	
605,0	0,20	
610,0	0,20	
615,0	0,20	
620,0	0,20	
625,0	0,20	
630,0	0,20	
635,0	0,20	
640,0	0,20	
645,0	0,20	
650,0	0,19	
655,0	0,19	
660,0	0,19	
665,0	0,19	
670,0	0,19	
675,0	0,21	
680,0	0,24	
685,0	0,32	
690,0	0,42	
695,0	0,56	
700,0	0,68	
705,0	0,78	
710,0	0,77	
715,0	0,70	
720,0	0,60	
725,0	0,57	
730,0	0,63	
735,0	0,82	
740,0	1,21	
745,0	1,83	
750,0	2,79	
755,0	3,98	
760,0	5,15	
765,0	6,17	
770,0	6,87	
775,0	7,24	
780,0	7,56	
785,0	8,08	
790,0	9,35	
795,0	11,26	
800,0	14,03	
805,0	17,40	
810,0	21,50	
815,0	26,85	
820,0	32,14	
825,0	37,56	
830,0	42,87	
835,0	48,22	
840,0	52,85	
845,0	57,28	
850,0	60,91	
855,0	64,41	
860,0	67,04	
865,0	69,99	
870,0	71,95	
875,0	73,92	
880,0	75,25	
885,0	76,24	
890,0	77,30	
895,0	78,03	
900,0	78,82	
905,0	79,92	
910,0	80,77	
915,0	81,64	
920,0	82,68	
925,0	83,05	
930,0	83,76	
935,0	84,09	
940,0	84,60	
945,0	84,73	
950,0	84,92	
955,0	85,51	
960,0	85,68	
965,0	86,04	
970,0	85,98	
975,0	86,28	
980,0	85,95	
985,0	86,20	
990,0	86,46	
995,0	86,23	
1000,0	86,15	
1005,0	86,09	
1010,0	85,94	
1015,0	86,26	
1020,0	86,94	
1025,0	86,68	
1030,0	87,06	
1035,0	87,52	
1040,0	87,11	
1045,0	87,53	
1050,0	87,76	
1055,0	87,94	
1060,0	88,22	
1065,0	88,11	
1070,0	88,20	
1075,0	88,14	
1080,0	87,74	
1085,0	87,21	
1090,0	86,52	
1095,0	86,00	
1100,0	84,92	
