nm	%T	
320,0	0,12	
325,0	0,09	
330,0	0,08	
335,0	0,11	
340,0	0,05	
345,0	0,05	
350,0	0,04	
355,0	0,04	
360,0	0,04	
365,0	6,16	
370,0	5,70	
375,0	5,12	
380,0	5,01	
385,0	6,39	
390,0	8,97	
395,0	11,11	
400,0	12,50	
405,0	13,98	
410,0	16,02	
415,0	18,67	
420,0	21,59	
425,0	25,93	
430,0	33,02	
435,0	41,93	
440,0	50,52	
445,0	57,53	
450,0	62,38	
455,0	63,95	
460,0	63,31	
465,0	61,12	
470,0	57,63	
475,0	53,74	
480,0	49,41	
485,0	45,17	
490,0	40,48	
495,0	35,30	
500,0	29,73	
505,0	24,74	
510,0	20,15	
515,0	16,49	
520,0	13,36	
525,0	10,38	
530,0	7,77	
535,0	5,48	
540,0	3,79	
545,0	2,66	
550,0	2,04	
555,0	2,14	
560,0	2,69	
565,0	2,88	
570,0	2,73	
575,0	2,60	
580,0	2,54	
585,0	2,50	
590,0	2,47	
595,0	2,45	
600,0	2,44	
605,0	2,43	
610,0	2,46	
615,0	2,52	
620,0	2,46	
625,0	2,34	
630,0	2,28	
635,0	2,28	
640,0	2,23	
645,0	2,21	
650,0	2,14	
655,0	2,16	
660,0	2,20	
665,0	2,42	
670,0	3,24	
675,0	5,42	
680,0	10,18	
685,0	18,23	
690,0	29,15	
695,0	41,49	
700,0	52,64	
705,0	63,15	
710,0	70,05	
715,0	75,87	
720,0	79,60	
725,0	82,15	
730,0	83,97	
735,0	85,28	
740,0	85,83	
745,0	86,71	
750,0	87,38	
755,0	87,44	
760,0	87,79	
765,0	88,31	
770,0	88,30	
775,0	88,58	
780,0	88,96	
785,0	88,98	
790,0	89,26	
795,0	89,21	
800,0	89,19	
805,0	89,10	
810,0	89,26	
815,0	89,13	
820,0	89,41	
825,0	89,26	
830,0	89,55	
835,0	89,54	
840,0	89,74	
845,0	89,87	
850,0	89,62	
855,0	89,68	
860,0	89,49	
865,0	89,74	
870,0	89,40	
875,0	89,37	
880,0	89,06	
885,0	88,72	
890,0	88,21	
895,0	88,22	
900,0	88,08	
905,0	88,43	
910,0	88,65	
915,0	89,06	
920,0	89,65	
925,0	89,72	
930,0	89,76	
935,0	89,98	
940,0	90,00	
945,0	90,02	
950,0	90,08	
955,0	90,12	
960,0	90,17	
965,0	90,18	
970,0	89,76	
975,0	89,94	
980,0	89,47	
985,0	89,58	
990,0	89,47	
995,0	89,09	
1000,0	89,14	
1005,0	88,93	
1010,0	88,93	
1015,0	89,13	
1020,0	89,34	
1025,0	89,27	
1030,0	89,49	
1035,0	89,75	
1040,0	89,68	
1045,0	89,87	
1050,0	90,05	
1055,0	90,19	
1060,0	90,25	
1065,0	90,12	
1070,0	90,07	
1075,0	89,88	
1080,0	89,13	
1085,0	88,47	
1090,0	87,58	
1095,0	86,24	
1100,0	85,21	
