nm	%T	
320,0	0,07	
325,0	-0,02	
330,0	0,05	
335,0	0,04	
340,0	0,07	
345,0	0,03	
350,0	0,02	
355,0	0,05	
360,0	0,05	
365,0	2,56	
370,0	2,38	
375,0	2,15	
380,0	1,90	
385,0	1,75	
390,0	1,62	
395,0	1,48	
400,0	1,39	
405,0	1,32	
410,0	1,23	
415,0	1,16	
420,0	1,12	
425,0	1,06	
430,0	1,01	
435,0	0,95	
440,0	0,90	
445,0	0,85	
450,0	0,79	
455,0	0,74	
460,0	0,69	
465,0	0,64	
470,0	0,60	
475,0	0,62	
480,0	1,04	
485,0	2,61	
490,0	7,11	
495,0	15,55	
500,0	27,75	
505,0	39,88	
510,0	50,01	
515,0	56,30	
520,0	58,92	
525,0	59,22	
530,0	57,10	
535,0	53,72	
540,0	48,88	
545,0	42,71	
550,0	36,36	
555,0	29,16	
560,0	22,09	
565,0	15,62	
570,0	10,43	
575,0	6,34	
580,0	3,26	
585,0	1,52	
590,0	0,63	
595,0	0,30	
600,0	0,22	
605,0	0,20	
610,0	0,20	
615,0	0,20	
620,0	0,20	
625,0	0,20	
630,0	0,20	
635,0	0,21	
640,0	0,21	
645,0	0,20	
650,0	0,20	
655,0	0,19	
660,0	0,19	
665,0	0,19	
670,0	0,20	
675,0	0,22	
680,0	0,25	
685,0	0,33	
690,0	0,43	
695,0	0,57	
700,0	0,70	
705,0	0,79	
710,0	0,79	
715,0	0,71	
720,0	0,62	
725,0	0,58	
730,0	0,64	
735,0	0,84	
740,0	1,24	
745,0	1,87	
750,0	2,86	
755,0	4,06	
760,0	5,28	
765,0	6,30	
770,0	7,01	
775,0	7,42	
780,0	7,70	
785,0	8,29	
790,0	9,57	
795,0	11,50	
800,0	14,32	
805,0	17,81	
810,0	22,03	
815,0	27,42	
820,0	32,86	
825,0	38,32	
830,0	43,66	
835,0	49,04	
840,0	54,00	
845,0	58,31	
850,0	62,26	
855,0	65,64	
860,0	68,45	
865,0	71,11	
870,0	73,25	
875,0	75,25	
880,0	76,77	
885,0	77,78	
890,0	78,51	
895,0	79,61	
900,0	80,25	
905,0	81,37	
910,0	82,24	
915,0	82,93	
920,0	84,18	
925,0	84,57	
930,0	85,11	
935,0	85,66	
940,0	86,00	
945,0	86,15	
950,0	86,57	
955,0	86,97	
960,0	86,97	
965,0	87,35	
970,0	87,54	
975,0	87,88	
980,0	87,60	
985,0	87,65	
990,0	87,97	
995,0	87,79	
1000,0	87,78	
1005,0	87,80	
1010,0	87,74	
1015,0	88,17	
1020,0	88,31	
1025,0	88,16	
1030,0	88,68	
1035,0	88,85	
1040,0	88,89	
1045,0	89,20	
1050,0	89,67	
1055,0	89,90	
1060,0	90,09	
1065,0	89,92	
1070,0	89,95	
1075,0	90,02	
1080,0	89,59	
1085,0	89,19	
1090,0	88,63	
1095,0	87,71	
1100,0	86,66	
