nm	%T	
320,0	0,17	
325,0	0,06	
330,0	0,05	
335,0	0,09	
340,0	0,12	
345,0	0,03	
350,0	0,03	
355,0	0,03	
360,0	0,05	
365,0	6,62	
370,0	6,11	
375,0	5,44	
380,0	4,81	
385,0	4,35	
390,0	4,00	
395,0	3,74	
400,0	3,50	
405,0	3,20	
410,0	2,89	
415,0	2,65	
420,0	2,48	
425,0	2,30	
430,0	2,14	
435,0	1,98	
440,0	1,81	
445,0	1,65	
450,0	1,50	
455,0	1,37	
460,0	1,24	
465,0	1,12	
470,0	1,01	
475,0	0,92	
480,0	0,84	
485,0	0,77	
490,0	0,76	
495,0	0,76	
500,0	0,70	
505,0	0,62	
510,0	0,59	
515,0	0,59	
520,0	0,61	
525,0	0,64	
530,0	0,66	
535,0	0,69	
540,0	0,70	
545,0	0,72	
550,0	0,74	
555,0	1,26	
560,0	2,16	
565,0	2,72	
570,0	2,77	
575,0	2,76	
580,0	2,78	
585,0	2,79	
590,0	2,85	
595,0	3,53	
600,0	6,37	
605,0	12,96	
610,0	23,01	
615,0	34,02	
620,0	44,90	
625,0	54,45	
630,0	62,49	
635,0	68,31	
640,0	72,79	
645,0	75,88	
650,0	78,19	
655,0	80,13	
660,0	81,31	
665,0	82,45	
670,0	83,54	
675,0	84,16	
680,0	84,89	
685,0	85,39	
690,0	85,96	
695,0	86,54	
700,0	86,69	
705,0	87,09	
710,0	87,37	
715,0	87,78	
720,0	87,77	
725,0	88,00	
730,0	88,26	
735,0	88,65	
740,0	88,57	
745,0	88,65	
750,0	89,18	
755,0	89,42	
760,0	89,46	
765,0	89,83	
770,0	90,02	
775,0	89,98	
780,0	90,41	
785,0	90,69	
790,0	91,10	
795,0	91,03	
800,0	91,05	
805,0	91,07	
810,0	90,85	
815,0	91,05	
820,0	91,34	
825,0	91,28	
830,0	91,53	
835,0	91,74	
840,0	91,74	
845,0	91,77	
850,0	91,73	
855,0	91,99	
860,0	91,69	
865,0	91,98	
870,0	91,69	
875,0	91,87	
880,0	91,58	
885,0	90,94	
890,0	90,81	
895,0	90,68	
900,0	90,57	
905,0	91,14	
910,0	91,40	
915,0	91,47	
920,0	92,29	
925,0	92,20	
930,0	92,46	
935,0	92,34	
940,0	92,61	
945,0	92,66	
950,0	92,56	
955,0	92,85	
960,0	92,73	
965,0	93,02	
970,0	92,43	
975,0	92,68	
980,0	92,04	
985,0	92,26	
990,0	91,97	
995,0	91,68	
1000,0	91,86	
1005,0	91,20	
1010,0	91,33	
1015,0	91,70	
1020,0	91,74	
1025,0	91,86	
1030,0	91,91	
1035,0	91,97	
1040,0	92,00	
1045,0	92,43	
1050,0	92,52	
1055,0	92,44	
1060,0	92,63	
1065,0	92,34	
1070,0	92,40	
1075,0	92,18	
1080,0	91,30	
1085,0	90,63	
1090,0	89,68	
1095,0	88,46	
1100,0	87,23	
